day_of_season,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,mean_accuracy
26,0.032997855,-6.22545333,1.90420755,-2.065262288,0.450486051,3.419542489,-7.652272912,-1.208510638,-0.483736447,-4.431847462,-1.749585406,-4.655259185,-7.076819634,-9.15398565,5.234888568,3.272408013,0.435831582,0.034972409
27,-0.090744102,-5.974763934,1.496757026,-1.990912846,0.37145341,3.419542489,-7.644140847,-1.225531915,-0.575479566,-4.26865928,-1.79933665,-4.923670525,-6.917128929,-8.893794843,4.874138207,2.985074627,0.552572185,0.034119824
28,-0.486718363,-5.774212417,1.255612839,-2.156133829,0.213388129,2.924298404,-7.611612588,-1.634042553,-0.658882402,-4.749634974,-2.155887231,-5.06626405,-6.799462094,-8.728218876,5.010421677,3.320296911,0.568137598,0.034772485
29,-0.618709784,-5.757499791,1.372027274,-1.833952912,0.189678337,2.892854335,-7.644140847,-1.668085106,-1.19266055,-4.449025165,-1.88225539,-4.504277806,-6.749033451,-9.114562801,5.058521725,3.080852422,0.3424391,0.034323869
30,-0.78369906,-5.690649286,1.080991186,-1.56133829,2.125978029,2.48408144,-7.782385948,-2.229787234,-1.626355296,-4.938589711,-2.155887231,-4.688810602,-6.555723651,-8.917448553,4.393137726,3.144704286,0.389135341,0.035616884
31,-0.890942089,-5.523523022,1.288874106,-1.734820322,2.181300877,2.413332285,-7.741725624,-2.178723404,-1.926605505,-5.410976552,-2.155887231,-4.504277806,-6.454866364,-9.075139951,4.745871413,3.248463565,0.070044361,0.036203161
32,-0.618709784,-5.055569483,1.372027274,-1.520033044,1.794040939,2.256111941,-7.644140847,-1.855319149,-2.427022519,-4.78399038,-2.205638474,-4.428787116,-6.463271138,-9.232831349,4.144620811,2.801500519,-0.326873687,0.034664993
33,-0.998185118,-4.846661653,1.205720938,-1.941346551,1.501620169,2.208945838,-7.497763682,-1.634042553,-2.702251877,-4.895645452,-2.097844113,-4.202315048,-6.211127921,-9.437830166,4.272887606,2.649852343,-0.17121955,0.034397212
34,-1.047681901,-4.721316955,0.382504573,-1.990912846,1.36726468,2.161779734,-7.497763682,-1.361702128,-2.59382819,-5.118955596,-2.023217247,-4.16876363,-6.194318373,-9.15398565,3.984287318,2.386463405,-0.498093237,0.033325199
35,-0.932189408,-4.537478065,0.399135207,-2.123089632,1.201296135,2.020281424,-7.457103359,-1.038297872,-2.977481234,-5.118955596,-1.849087894,-4.3029693,-5.900151286,-9.17763936,4.17668751,2.785537553,-0.537006771,0.033255522
36,-0.816696915,-4.587615944,0.457342425,-2.015695993,1.201296135,2.193223803,-7.587216394,-0.782978723,-3.17764804,-4.938589711,-2.056384743,-4.24425432,-5.816103547,-9.114562801,3.960237294,2.354537473,-0.537006771,0.032847877
37,-0.923939944,-4.512409125,0.631964078,-1.982651797,0.972101478,2.020281424,-7.554688135,-0.357446809,-3.369474562,-5.282143777,-2.288557214,-4.328132864,-6.026222895,-9.106678231,3.848003848,2.091148535,-0.692660907,0.032934415
38,-0.866193697,-4.286788669,0.565441543,-1.75134242,0.782423141,1.902366166,-6.855330568,-0.595744681,-3.219349458,-4.904234304,-2.479270315,-4.487502097,-6.118675408,-9.106678231,3.695687029,1.85968553,-0.801618803,0.031928431
39,-0.585711929,-4.495696499,0.465657742,-1.627426683,0.426776259,1.611508529,-6.473123526,-0.289361702,-3.327773144,-4.981533969,-2.645107794,-4.495889951,-6.219532695,-9.098793661,3.66362033,1.851704047,-0.848315044,0.031239726
40,-0.626959248,-4.545834378,0.224513554,-1.701776126,0.537421955,1.587925478,-6.448727332,-0.289361702,-3.17764804,-4.930000859,-2.777777778,-4.739137729,-6.261556564,-8.948986833,3.495270162,1.763907734,-0.51365865,0.030923802
41,-1.072430292,-4.579259631,0.008315317,-1.379595209,0.7033905,1.556481409,-6.18850126,-0.323404255,-3.236030025,-4.972945117,-2.951907131,-5.015936923,-6.185913599,-8.925333123,3.190636524,1.747944768,-0.537006771,0.030926489
42,-1.072430292,-4.62939751,-0.066522535,-1.619165634,0.545325219,1.179152582,-6.05025616,-0.306382979,-3.29441201,-4.758223825,-3.101160862,-5.015936923,-6.135484955,-8.917448553,3.03030303,1.731981802,-0.287960153,0.030436203
43,-1.187922785,-4.495696499,0.124729752,-1.379595209,0.529518691,1.320650892,-5.651784988,-0.408510638,-3.494578816,-4.869878897,-3.184079602,-4.906894816,-6.269961338,-9.1934085,2.741702742,1.91555591,-0.428048875,0.030648541
44,-0.791948523,-4.428845993,0.174621653,-1.321767865,0.339840354,1.399261064,-5.6029926,-0.629787234,-3.436196831,-4.972945117,-3.391376451,-5.20046972,-6.219532695,-9.240715919,2.39698573,1.843722564,-0.350221807,0.030436019
45,-0.923939944,-4.403777054,0.191252287,-1.057414292,0.387259938,1.289206823,-5.6029926,-0.629787234,-3.769808173,-5.015889376,-3.507462687,-5.368226808,-5.933770382,-9.390522747,2.541285875,1.91555591,-0.474745116,0.030825234
46,-0.98168619,-4.111306092,0.133045069,-0.950020653,0.29242077,1.257762755,-5.269577946,-0.221276596,-3.99499583,-4.955767414,-3.839137645,-5.561147458,-6.034627669,-9.429945596,2.284752285,1.692074387,-0.498093237,0.03029861
