day_of_season,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean_accuracy
11,-1.6993895396799206,-10.654299323138632,2.394811242308332,-4.196612969847171,-0.04741958428831107,4.127034038204544,-9.050988045864845,-9.192246901256135,15.929941618015011,4.449025165335395,4.742951907131012,1.7111222949169602,2.1852412170112623,-2.0894110226287155,10.63011063011063,5.930241838933674,1.097361662386178,-5.041414463204842,0.05287201303570087
12,-2.0788648737832043,-10.821425587031001,2.0538832529519375,-3.3870301528294093,0.8061329329012882,4.150617089851426,-9.21362934048955,-9.66641710340238,15.070892410341951,5.849007987632054,4.162520729684909,1.023318235195437,1.8910741301059002,-2.538831506741307,9.916626583293251,5.92226035597414,1.159623316989649,-4.260911118190506,0.05220725928188295
13,-2.5903316284441513,-10.637586696749395,0.6153334442042242,-2.5526641883519208,1.0432308543428435,4.622278122789089,-8.13206473123526,-9.333666084352384,13.59466221851543,5.342265739070686,4.9502487562189055,0.6374769334004362,1.1430492519751219,-2.5467160766380195,9.32339265672599,5.762630696783463,2.0312864814382445,-4.300732717425932,0.0495331207103675
14,-2.0788648737832043,-10.395253614105457,0.9978380176284716,-3.2631144155307727,1.1064569667272584,5.463406964861253,-7.8799707245669675,-9.69137342983113,12.343619683069225,4.844112342179851,4.610281923714759,1.4427109545378292,1.2607160867372669,-1.8055665063470787,8.457591790925125,5.491260276159311,2.1558097906451863,-3.886588085377509,0.04843029802595979
15,-1.5426497277676952,-9.392496030751232,-0.2494595044071179,-2.5278810408921935,1.8019442029558206,5.699237481330084,-7.294462063918029,-9.907661592213627,11.109257714762302,3.4698960748947862,4.27860696517413,2.206005703740983,1.0421919650361406,-1.7897973665536544,8.112874779541446,6.097852981083885,2.16359249747062,-3.8626951258362534,0.04586031267685
16,-1.171423857449266,-9.593047547422078,0.39081989023781805,-2.3130937629078896,2.157591085118154,6.170898514267746,-7.01797186305603,-9.017552616254887,10.683903252710591,2.619599759512153,3.557213930348259,1.3336688475088072,0.4790721129601614,-1.0959552156429866,7.287157287157287,5.4274084124830395,1.9378939995330375,-3.5122650525645107,0.04209252055951928
17,-2.045867018643788,-9.308932898805047,0.18293696989855313,-2.0074349442379185,2.339366158223346,5.502712050939391,-7.229405546068146,-8.169037517677397,10.191826522101751,2.619599759512153,4.23714759535655,1.9124308002013084,0.5967389477223062,-0.5440353228731373,7.07070707070707,5.722723281985793,1.1829714374659506,-3.5998725708824466,0.04136874800739004
18,-1.3776604520706155,-8.623715216846326,0.3492433061699651,-2.3709211069805867,1.8493637872441318,5.754264601839478,-7.278197934455559,-7.5201730305299055,9.87489574645538,3.237997079790432,4.12106135986733,1.5853044791142425,0.15128593040847202,-0.30749822597177323,6.5175565175565175,5.179982440737489,0.5058759436532027,-3.9025167250716786,0.0391708410470906
19,-1.517901336413133,-8.456588952953958,1.1641443538998837,-2.3130937629078896,1.533233225322058,5.392657809920603,-7.619744653167439,-8.094168538391148,8.957464553794829,2.7827879412522547,5.05804311774461,2.474417044120114,0.7816439737771054,-0.7332650003942285,6.814173480840148,5.275760236251895,0.7160090279399175,-3.814909206753743,0.04083333678658053
20,-1.1301765385249958,-7.938497534887608,0.55712622650923,-2.2635274679884345,0.8614557812376512,5.3612137410580925,-7.562820200048792,-8.06089343648615,8.865721434528774,2.5337112428068367,5.7545605306799334,2.5079684616675055,0.7312153303076148,-0.354805645352046,6.212922879589546,5.339612099928167,0.07782706825433887,-3.40076457470532,0.0386193445525339
21,-1.0394324368916021,-7.8549344029414225,1.1059371362048895,-2.6187525815778603,1.130166758871414,5.203993396745539,-7.814914206717086,-7.278928541718659,7.873227689741451,1.8208365541527098,5.8540630182421225,2.742828384499245,0.8909060346276685,-0.6228810218402586,6.742023408690076,5.267778753292362,-0.13230601603237607,-3.7750876075183184,0.03876055441683614
22,-0.7919485233459824,-7.87164702933066,1.488441709629137,-2.3296158612143745,1.2408124555441398,5.109661190158007,-7.871838659835732,-6.7714832376674154,6.914095079232693,1.3999828222966588,5.787728026533997,3.0615668511994634,0.8152630694234325,-0.23653709690136404,5.948372615039282,5.020352781546811,0.07004436142890498,-3.8626951258362534,0.036995603608980174
23,-0.5197162184458011,-7.52068187515668,2.1120904706469315,-2.057001239157373,1.122263494823362,4.928857794198569,-8.148328860697731,-6.9461775226686635,6.697247706422019,1.1852615305333678,5.199004975124378,2.8015433652071797,0.6387628172802151,0.2049988173145155,5.804072470739138,4.469630457338973,-0.2101330842867149,-3.4963364128703405,0.03559006061828442
24,-0.49496782709123904,-7.01930308347957,2.0123066688840843,-2.0239570425444033,0.7745198767090808,4.4257526923983965,-7.823046271448321,-6.796439564096166,6.780650542118432,2.035557845916001,5.165837479270316,2.474417044120114,-0.1176668347621449,0.291729086178349,5.250921917588585,3.982759996807407,-0.17121955015954549,-3.3051927365402993,0.03385902558895137
25,0.04124731892426992,-6.392579593883179,2.0123066688840843,-1.9413465510119785,0.6243578597960958,3.8283153840106907,-7.97755550134179,-6.821395890524914,6.647206005004171,1.8809585158464315,5.273631840796019,2.0298607616171784,-0.4286434694906707,0.17346053772766695,5.531505531505532,3.543778434033043,-0.023348120476301658,-3.8228735266008282,0.03277465083970825
26,0.03299785513941594,-6.225453329990808,1.9042075503076665,-2.065262288310615,0.45048605073895515,3.4195424887980503,-7.652272912092379,-6.754845686714915,6.430358632193495,2.241690286008761,5.107794361525705,1.9040429458144608,-0.7312153303076148,0.17346053772766695,5.234888568221901,3.2724080134088918,0.4358315822242976,-3.2096208983752788,0.03180354406550049
27,-0.09074410163339383,-5.974763934152252,1.4967570264427075,-1.9909128459314331,0.37145341025843676,3.4195424887980503,-7.644140847361144,-6.7714832376674154,6.363636363636363,2.404878467748862,5.0497512437810945,1.6859587317564169,-0.4874768868717431,0.3626902152487582,4.874138207471541,2.9850746268656714,0.5525721846058058,-3.233513857916534,0.03097749371008201
